TrendID,ProductGroupID,TrendName,Description,StartDate,EndDate,PopularityIndex,GeographicalImpact,DemographicImpact,ForecastedGrowth
cf87d64b-9ba9-46db-a86d-d09547c7fae3,a41c5a75-ddff-431a-a5a7-608543fc06eb,door,Yes themselves structure human civil leader.,7/6/2022,15/2/2020,6,Matthewbury,along,2%
1aa7697f-df39-4a49-83e4-45ad60ed2cb2,d137d414-11b5-4975-ba11-20382e901cc8,two,Friend general ability voice.,31/10/2022,10/8/2020,7,East Monica,simple,8%
9dfa6739-1829-4d60-bda4-0847aa411799,d7cc4c7f-6f73-4825-a5f4-f600669c994b,front,Read these see adult.,6/8/2023,18/4/2024,8,Kathrynstad,goal,5%
4195d37e-ad55-455c-875a-0f67f80512dd,f9830d05-8308-4e11-a3be-5b3acbad064d,sense,On knowledge ball form need bag reflect ever.,19/5/2024,11/5/2024,5,Joanfurt,professor,7%
c6ab88d5-fa4a-4a31-8ecf-0a52462cb66c,cd75c688-fe06-46d2-b520-e643fe6f6e3b,reason,Amount common every with guess section.,22/5/2020,23/6/2021,3,Lake Jeremymouth,participant,2%
0f7228af-e54c-461d-b869-ef43e3990195,f97488a0-493a-411c-8452-38b508a18d67,store,Us training general help.,17/7/2020,19/5/2022,7,Estradafort,development,7%
bf0a31f3-96b0-4636-9fe1-d56e674b5d62,49e85c07-396f-492b-a603-aa4c17dc23d4,buy,Congress theory clearly focus president.,20/1/2023,30/7/2021,7,East Stefanie,president,1%
8986018a-adc9-4159-a1e8-d336f266bd9a,d7595ec7-608f-4143-9bf7-1f106802d529,military,Big mind level behind begin.,6/7/2023,13/6/2022,4,Jenniferchester,do,10%
008adf75-3f64-4491-a184-d83bd1653da3,83397616-5c6e-4664-92e7-3d5d3c53bae9,personal,Throw question certain network respond.,14/11/2023,13/10/2021,10,West Laura,crime,9%
a60f652c-9cc2-4431-8496-4adb4f9151b7,850b80b0-3628-422c-8809-d16a98cc6d97,seat,Produce social six nothing quickly standard most.,16/2/2023,30/10/2023,4,Teresahaven,sort,9%
a0cad0c3-073d-46c5-8166-e4db9fa96b03,c8b733d8-8256-4219-bcd1-8ba8b1ae542d,list,Experience Democrat true.,12/7/2022,30/8/2023,5,New Michael,those,7%
