ProductID,ProductName,ProductGroupID,Description,Manufacturer,SupplierID,Price,StockQuantity,WarrantyPeriod,ReturnPolicy
0e675797-1c5e-4205-8d61-d72630091ada,occur,ac92c55f-2409-4126-8155-2544bd306ee0,Blue including number create fine.,"Thompson, Wong and Sanchez",7b202752-9550-46af-b5ec-5e3e90358103,960,66,4 years,Watch instead pull various between.
9aab450b-5496-4731-a90f-60dc41f5ea86,alone,1b01cb0b-683c-452d-929f-5f6727e8bb07,Easy room find allow.,Gallegos-Cook,9fad0d33-d322-4ec6-856b-950d95013c22,684,47,1 years,Argue red discover arrive.
c86b4807-9694-4fcd-9075-f21be50da25d,stage,78185b0a-b0a4-4992-8725-553e9b33228f,Score mean economy.,Golden-Sullivan,86804891-3683-4847-8c44-4bae87fc8244,837,64,4 years,Learn central recent.
51b06840-1448-4037-ad18-a5d5b2e51e38,space,87f34488-8915-4a00-b320-108328ee2db2,Article create several sense.,"Vazquez, Higgins and Sanchez",8a0fb7ea-fae4-446e-abb2-e84a856462cd,561,48,2 years,Let of join conference.
dc498070-1c7f-4772-9733-d8ecbff58b7a,candidate,66c7ca84-c5da-40b3-9279-6c39b9828708,Professor out blood may table join.,Doyle-Holmes,40866def-89a0-41a6-a81d-b422cfda18f7,571,39,3 years,Then trade hold smile during cup.
7afa8bd6-9cf9-4fb5-a61d-f940dc71f1ec,area,29f68909-1a76-4c66-ad79-eeca99f3f30a,Reason out rather general structure power.,Hayes-Walker,f61024e6-c324-49eb-83f1-7a41f6c77578,581,32,1 years,Establish ahead do.
c01c1c23-d93f-4f00-b1dc-070c5386e774,foreign,6c06c941-bbb5-4a4d-bdcd-fdcf2f221407,View whole series remain.,"Hall, Caldwell and Juarez",49dcdc4d-9e6e-4f2d-8cc0-6aa2b7883d05,637,44,3 years,Old happen big president.
3ab4fd1f-c516-444d-9d14-4d6696d59f9d,detail,9fed0b69-2cc7-468a-80a3-5701d1ba180f,Travel attack father perform house.,Martinez and Sons,c22bb20a-e935-4977-baaf-e23b3f368c13,267,97,2 years,Activity believe behind method box talk customer young.
c0105cab-2924-4206-b021-5df1e0615dd6,institution,b54c0294-9383-4680-aa4a-69cec46d765c,War organization edge dinner.,"Gibson, Casey and Huber",8019697b-0b26-4b8d-af4d-74e659b46e27,475,18,3 years,Lose subject court oil.
f0106491-bfff-4cc6-a8f8-d698bab59523,performance,9db9a782-7664-4ec6-9d44-15087707dfab,Among senior receive one early hour play.,Taylor Inc,066652d3-d16b-4efc-ad50-55f602e002e9,876,73,3 years,Laugh business unit south arm.
8e5d82cd-ede9-4f29-9283-8af40e4a9091,such,1195878d-b590-4924-8bf3-6f1166462941,Toward by class study until window.,Weaver-Galvan,a143b0e0-2558-4554-a5d0-9d26b854b409,163,45,1 years,Either yet which difficult along body himself.
5d017ecf-f591-4e12-9589-32f6de270f18,task,8102f0b7-d975-4781-90cd-b5e1f6d819a7,Grow his beautiful identify do energy admit.,Hayes-Cooper,e76beaea-ee39-4b2f-8818-235f93ff829f,116,53,2 years,The per me manager interesting analysis.
b52d201c-bf2f-49b7-9a56-51e0144f15e9,itself,a6678f00-81f2-4c75-be28-d843e1c1074f,Republican front itself final interview agent father natural.,"Cruz, Calderon and Good",bf9e2fb8-8d0b-4fd5-ae12-ab652629d973,609,91,5 years,Small certain direction discuss present check.
2cdd8319-7ff5-40fa-9181-da67c6c50de1,space,b80e38a8-39a1-437b-87cf-098e0575fcde,Only especially toward firm matter.,Cruz-Freeman,2da7b6a2-17a1-445c-b1aa-1fd0a3f68056,471,86,4 years,Sing section task simply school boy.
c32d6a99-8a9f-43f6-842b-34cbf89deaf5,agent,dac50cd7-dfa8-416c-8d49-a791d9a6fba5,Entire age clear discuss organization commercial.,"Schaefer, Allen and Roberts",f4a9cea0-8877-4639-9fca-e8769dd8cf18,840,6,5 years,Door home material forward site western.
74672d34-8e5a-4dd7-8a8d-41e613b481b7,pick,18d7905f-7dec-46a3-adf9-692dc361b85e,Recent white watch American.,Larson and Sons,57876658-191a-4794-a072-d42f610e5baf,72,7,2 years,Indeed north commercial analysis resource.
