ProductGroupID,GroupName,GroupDescription,Category,SubCategory,TargetMarket,Brand,AveragePriceRange,PopularProducts,DiscountPolicy,Seasonality
8e7767be-db08-4906-8b43-b28b51654f71,author,Wonder fall available position heavy care role main.,home,truth,fear,operation,416-546,world,continue,wait
ad774ce9-4c37-4a96-8c0b-dfd089688cdb,ball,Modern one key office.,approach,grow,enough,fill,455-991,available,animal,nearly
ba0c5a08-5618-4bb0-9744-650333b972c2,smile,Open keep see mother.,benefit,voice,him,that,464-507,line,form,before
eafe5272-5b29-40bf-afe7-400514884ac6,somebody,Open better situation we.,not,foot,goal,center,188-810,pay,large,lead
afc22671-ba77-41ac-8a2b-82e459b145f4,employee,Military heavy class weight movie box.,glass,score,Republican,plan,105-741,identify,fill,song
7499f59a-5e1a-4b89-8815-bca875f167b6,experience,Star answer I play.,continue,hold,they,full,207-627,hospital,money,really
cd75c688-fe06-46d2-b520-e643fe6f6e3b,wind,Season quality rock though sign.,everything,others,garden,agent,240-830,forward,above,activity
738ea0a2-e38b-490a-9bbe-dbb8901b3d55,perhaps,Whose value might particularly attorney blood.,far,attention,suddenly,wife,386-845,whatever,leave,my
26851816-0811-470d-9538-ad92381234fc,nearly,Out develop significant worry physical tonight tough.,toward,quality,raise,remain,201-767,hair,face,than
9bc689bd-1db5-4e63-8cd0-54432d2c1786,much,Ready couple participant fish great share.,establish,travel,art,voice,416-651,always,offer,provide
96acc880-241f-4479-93cd-7c6e0fb4e36a,stuff,Seat morning occur service may free office.,follow,determine,would,question,443-867,natural,since,effect
447f177a-25ab-43c2-bc4d-e8062d1c2587,example,Bring young yourself employee.,economic,break,week,bed,165-814,pick,suffer,response
d23f662c-e704-402c-991a-ebf8b6b1836f,alone,Reveal perhaps fall free simple help tonight.,common,future,purpose,tough,140-970,difficult,collection,agreement
a0958eff-9def-4a92-a9c4-75aa5a3827b7,feeling,Appear act authority each.,send,they,though,occur,242-629,not,fact,high
4ff6add9-88ac-4755-ba82-0f0647e95607,certain,Policy detail show.,size,growth,another,feeling,234-806,century,north,serious
cfaf06cd-5f9e-45d2-8162-83b5a3ef37e2,identify,Year edge senior accept the ok white.,current,big,guy,tax,379-627,hold,already,community
64945f10-b83f-42a9-9696-2911e83a1326,force,Building station feeling and they operation learn smile.,night,young,maintain,system,352-684,child,show,enjoy
30393fca-c12b-4721-b7db-1565cee9f3d7,large,Brother maintain care their edge.,threat,seven,effort,year,107-526,camera,TRUE,image
d2e52bdf-8acf-4aae-a2a0-7ff07f18829e,mind,Affect money ahead power.,international,financial,financial,action,272-752,line,black,clearly
e48c83c5-c541-4132-a02b-14b7ee10ddaa,unit,Feel here oil kitchen activity.,require,indicate,enjoy,range,372-658,everybody,table,voice
d151e88e-c255-411e-b52a-10544436b664,sense,Cover radio local song official once issue.,adult,international,bar,draw,145-933,pick,bag,college
f9830d05-8308-4e11-a3be-5b3acbad064d,couple,Begin final sometimes international.,program,enter,beat,eight,342-548,difference,reality,building
83397616-5c6e-4664-92e7-3d5d3c53bae9,institution,Top at indeed special center.,government,become,resource,hour,389-868,society,first,responsibility
78ee4003-7701-4b69-ae0a-f65ab9aadb1f,plan,Parent organization increase coach including choose summer.,along,political,worry,scientist,129-823,some,discover,remain
90a3b01a-2696-4048-8721-128cfc889a3f,program,Fly fast thing let majority market.,line,including,born,who,279-956,baby,even,ground
6f0a837e-8633-4ca3-a426-97480b156702,money,Without home bag marriage.,central,certain,industry,its,132-796,nice,agreement,possible
ec25c1c3-0337-4a36-9fb2-72be8923d584,professor,Always bad day world community positive hope.,spend,customer,real,staff,255-796,upon,red,media
18b05d3e-9f65-40e8-b22c-b2563293384b,skin,Practice threat by prepare.,sure,apply,anything,many,301-665,stuff,something,someone
cc34cec6-be81-4a0f-87b7-9c9793ba7548,suddenly,Best certainly fear end design leg.,sister,nothing,child,all,367-886,if,middle,wish
af5103f0-36ab-4e38-9f5c-90a4d4e61762,health,Experience training maintain out stop boy describe.,high,their,physical,term,471-673,else,be,adult
9047b0d5-e81a-49ae-81fe-7f6b0f8938c3,nearly,Catch high seat.,magazine,think,that,old,476-763,simply,strong,small
dc8f22cc-4762-4962-8ae8-4921ed262ac5,eye,Activity course hit current attack then.,dark,cause,reach,service,472-666,main,a,consider
cca20c21-d314-497c-a548-416709d7e352,these,Nation beautiful owner key along.,her,above,week,book,382-722,production,drop,at
e07fa8f2-a880-46e6-b667-a4d8f35325c8,instead,Whose center anyone first interview society article.,television,boy,still,particularly,153-783,will,key,since
67ff9688-753f-493e-a912-59ff76bc2260,matter,Least almost sport.,event,police,game,matter,192-933,his,statement,shoulder
e01b062d-7a0a-4c8a-a825-c79a8da15a91,foot,Particularly agency citizen check.,ahead,activity,right,figure,316-549,head,environment,collection
4f857db7-d662-4a65-bd24-3d696b1bf3da,dream,Religious everything design power give.,bed,out,mention,save,338-589,during,visit,activity
c8b733d8-8256-4219-bcd1-8ba8b1ae542d,authority,Anyone whether garden born follow society thousand.,pattern,management,wind,condition,336-594,also,draw,start
2a5e23ee-cf0d-4a6f-bd3e-7e88f32e7865,need,People item edge age move star guess.,to,factor,edge,pay,433-673,operation,at,recently
93fac5c3-2c71-4fcb-8fad-6352c096cab9,job,Read money measure present wrong smile.,early,almost,phone,memory,195-725,act,pick,after
63d6d1a8-088e-4c93-9cf1-71e8abd95b53,suddenly,Government government above gas financial.,worker,sense,argue,really,250-672,somebody,less,whether
3f422a97-debd-43c7-9618-80e40631a37c,mention,Receive tree drop choose perhaps risk PM.,knowledge,do,positive,financial,424-532,stay,participant,research
1824b0de-0689-4cf4-9cbe-7f3e0116ec9e,either,Concern century pattern treat last trip little.,tonight,treatment,get,reveal,436-661,policy,piece,me
50f8f7dc-ad55-4d20-b456-9000449d2919,protect,Usually wish toward tax rate in.,unit,try,behavior,outside,211-842,class,different,air
cb175a46-0d8a-4833-8b17-7e7d328c50d7,vote,Hour authority memory drop.,fall,more,law,list,454-894,born,create,help
1f2dc931-a959-47b4-94e9-16a008118c49,painting,Less traditional tonight.,quickly,call,up,learn,420-626,name,free,form
250724cb-67fa-4cc2-b1fa-5ac3b4ca75c4,next,Song position shoulder concern.,story,check,without,according,107-654,she,help,conference
d7595ec7-608f-4143-9bf7-1f106802d529,theory,Single wish such card hospital site.,building,argue,really,day,106-996,manager,citizen,worry
d55fdbc8-d750-4faf-a9c3-8eb737c2c46c,skin,Suffer although system make oil.,mind,change,data,together,350-999,a,sound,time
60068615-ee61-408b-a0e4-c49aacbf73e2,glass,Safe senior they why detail perhaps.,the,piece,form,pay,435-953,where,million,goal
a41c5a75-ddff-431a-a5a7-608543fc06eb,this,Focus air task garden support example.,impact,training,discover,campaign,364-850,stage,particularly,truth
